epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.3022,1.69524,1.78527,1.38578,0.55698,0.51974,0.52685,0.26417,1.72613,1.37418,1.4233,0.00033261,0.00033261,0.00033261
2,193.784,1.6782,1.35455,1.38691,0.60721,0.56412,0.58978,0.30187,1.73613,1.27756,1.46637,0.000652758,0.000652758,0.000652758
3,312.645,1.67225,1.321,1.39519,0.52694,0.54524,0.53125,0.26532,1.78964,1.35673,1.50876,0.000959706,0.000959706,0.000959706
4,416.119,1.64448,1.26076,1.37605,0.63454,0.61722,0.63782,0.337,1.69079,1.17532,1.42627,0.0009406,0.0009406,0.0009406
5,498.762,1.61868,1.22627,1.36446,0.65607,0.60867,0.65331,0.35222,1.67709,1.15733,1.4051,0.0009208,0.0009208,0.0009208
6,581.627,1.60501,1.1879,1.35636,0.67059,0.59885,0.66256,0.36074,1.65179,1.13449,1.40662,0.000901,0.000901,0.000901
7,664.251,1.59249,1.16187,1.3426,0.65371,0.64874,0.68512,0.37538,1.64418,1.09122,1.38352,0.0008812,0.0008812,0.0008812
8,739.406,1.57728,1.13775,1.33202,0.65887,0.64448,0.69009,0.37605,1.65431,1.08019,1.40842,0.0008614,0.0008614,0.0008614
9,813.346,1.56587,1.11137,1.32874,0.67341,0.67425,0.71176,0.39621,1.63403,1.04102,1.36994,0.0008416,0.0008416,0.0008416
10,887.856,1.56418,1.09602,1.32736,0.69784,0.6574,0.71758,0.40701,1.61407,1.03896,1.36102,0.0008218,0.0008218,0.0008218
11,962.226,1.55054,1.08998,1.31837,0.65296,0.68447,0.7175,0.40392,1.61296,1.04543,1.34592,0.000802,0.000802,0.000802
12,1035.63,1.54454,1.06613,1.31256,0.67653,0.67678,0.72585,0.41024,1.6068,1.01539,1.36281,0.0007822,0.0007822,0.0007822
13,1108.7,1.52741,1.04993,1.30407,0.68272,0.66903,0.72055,0.40737,1.60514,1.02361,1.3566,0.0007624,0.0007624,0.0007624
14,1181.1,1.532,1.05731,1.31103,0.68181,0.68711,0.73207,0.41835,1.5927,0.99656,1.35484,0.0007426,0.0007426,0.0007426
15,1254.94,1.50801,1.02456,1.29531,0.68301,0.69207,0.73724,0.422,1.58998,0.98699,1.34217,0.0007228,0.0007228,0.0007228
16,1329.07,1.52008,1.03105,1.29554,0.6838,0.69044,0.73461,0.42356,1.57224,0.99777,1.34172,0.000703,0.000703,0.000703
17,1403.11,1.50164,1.02327,1.28977,0.68217,0.70382,0.74349,0.42902,1.58146,0.97968,1.3339,0.0006832,0.0006832,0.0006832
18,1476.59,1.50255,1.0067,1.28777,0.68068,0.70683,0.74661,0.43067,1.57813,0.96846,1.33331,0.0006634,0.0006634,0.0006634
19,1550.59,1.50246,1.00785,1.28386,0.6845,0.70048,0.74545,0.42315,1.59463,0.97029,1.3445,0.0006436,0.0006436,0.0006436
20,1624.27,1.49584,0.99129,1.28104,0.66729,0.71685,0.74615,0.43274,1.5651,0.96473,1.33475,0.0006238,0.0006238,0.0006238
21,1698.16,1.49024,0.98324,1.27971,0.69779,0.69905,0.75405,0.43663,1.5738,0.94851,1.33563,0.000604,0.000604,0.000604
22,1772.13,1.47831,0.98072,1.27632,0.7219,0.69704,0.76198,0.43737,1.57524,0.93963,1.33432,0.0005842,0.0005842,0.0005842
23,1845.48,1.48239,0.97201,1.27313,0.67667,0.72403,0.75792,0.43588,1.57628,0.94444,1.334,0.0005644,0.0005644,0.0005644
24,1919.3,1.46529,0.95798,1.26672,0.68901,0.71637,0.76185,0.44458,1.56194,0.92848,1.32191,0.0005446,0.0005446,0.0005446
25,1993.24,1.46145,0.95504,1.26462,0.71044,0.70213,0.75891,0.44247,1.56958,0.92966,1.33052,0.0005248,0.0005248,0.0005248
26,2067.24,1.46241,0.94952,1.26098,0.69697,0.71637,0.75864,0.44239,1.55868,0.93061,1.32267,0.000505,0.000505,0.000505
27,2138.73,1.46125,0.94819,1.26264,0.69699,0.71318,0.76159,0.44628,1.56539,0.93117,1.32001,0.0004852,0.0004852,0.0004852
28,2200.35,1.44818,0.93073,1.25732,0.68808,0.7313,0.75995,0.44089,1.55657,0.92716,1.31737,0.0004654,0.0004654,0.0004654
29,2261.63,1.43291,0.91646,1.24762,0.71161,0.71624,0.76516,0.44803,1.55879,0.92008,1.3207,0.0004456,0.0004456,0.0004456
30,2322.74,1.44492,0.92448,1.2577,0.70761,0.71514,0.76343,0.44614,1.57071,0.91909,1.32988,0.0004258,0.0004258,0.0004258
31,2386.54,1.42651,0.91159,1.2437,0.69761,0.7249,0.76589,0.45322,1.54951,0.91475,1.30777,0.000406,0.000406,0.000406
32,2452.18,1.4284,0.9118,1.24349,0.71987,0.7056,0.76865,0.45301,1.55437,0.91732,1.30601,0.0003862,0.0003862,0.0003862
33,2519.97,1.42448,0.9067,1.24832,0.70357,0.7256,0.77115,0.45291,1.55752,0.90949,1.31759,0.0003664,0.0003664,0.0003664
34,2586.23,1.42181,0.89886,1.23689,0.6983,0.73164,0.76879,0.45491,1.55186,0.90797,1.30711,0.0003466,0.0003466,0.0003466
35,2649.36,1.41649,0.8961,1.22937,0.71057,0.72334,0.77106,0.45471,1.5514,0.90902,1.30237,0.0003268,0.0003268,0.0003268
36,2712.28,1.40913,0.88778,1.23555,0.71211,0.73106,0.7772,0.45567,1.5613,0.89453,1.31749,0.000307,0.000307,0.000307
37,2778.2,1.40616,0.87693,1.23218,0.70335,0.73126,0.77377,0.4558,1.55582,0.89892,1.3127,0.0002872,0.0002872,0.0002872
38,2841.74,1.40542,0.87465,1.2303,0.69935,0.73202,0.7721,0.45832,1.54882,0.89489,1.30899,0.0002674,0.0002674,0.0002674
39,2905.33,1.39937,0.8734,1.22082,0.70557,0.72223,0.7728,0.45629,1.54986,0.88898,1.30333,0.0002476,0.0002476,0.0002476
40,2971.63,1.39375,0.86725,1.21832,0.70767,0.72815,0.77453,0.45925,1.5472,0.88835,1.31168,0.0002278,0.0002278,0.0002278
41,3079.05,1.45958,0.856,1.2614,0.6987,0.73605,0.77444,0.45846,1.54903,0.8885,1.30747,0.000208,0.000208,0.000208
42,3160.47,1.4454,0.84281,1.25421,0.69772,0.7437,0.77898,0.46158,1.54666,0.88231,1.30953,0.0001882,0.0001882,0.0001882
43,3226.36,1.43591,0.83017,1.24875,0.69267,0.74535,0.77659,0.45959,1.54901,0.88469,1.31141,0.0001684,0.0001684,0.0001684
44,3297.14,1.42942,0.8239,1.24426,0.71572,0.73341,0.77804,0.46022,1.54959,0.88422,1.30925,0.0001486,0.0001486,0.0001486
45,3377.96,1.42101,0.8189,1.24212,0.70954,0.74091,0.77761,0.46044,1.55151,0.88311,1.30707,0.0001288,0.0001288,0.0001288
46,3459.63,1.4148,0.81516,1.23378,0.71239,0.74159,0.77789,0.46062,1.54574,0.88402,1.30386,0.000109,0.000109,0.000109
47,3541.22,1.41172,0.80915,1.23344,0.70995,0.73377,0.77613,0.46036,1.54741,0.88108,1.31271,8.92e-05,8.92e-05,8.92e-05
48,3622.41,1.40499,0.80187,1.23534,0.72365,0.732,0.77861,0.46139,1.5483,0.8772,1.3118,6.94e-05,6.94e-05,6.94e-05
49,3703.97,1.39668,0.79648,1.22838,0.72012,0.73083,0.77712,0.46048,1.55218,0.87907,1.31283,4.96e-05,4.96e-05,4.96e-05
50,3785.42,1.39155,0.79176,1.22989,0.70923,0.73863,0.77578,0.45987,1.55071,0.87996,1.31495,2.98e-05,2.98e-05,2.98e-05
